geoName,grip,Period
Gaziantep,0.5641025641025641,201902
Giresun,0.717948717948718,201902
Gümüşhane,1.435897435897436,201902
Hakkâri,1.0256410256410255,201902
Hatay,0.41025641025641024,201902
Isparta Province,0.5128205128205128,201902
Iğdır,1.1025641025641026,201902
Kahramanmaraş Province,0.6153846153846154,201902
Karabük,0.9743589743589743,201902
Karaman,0.5128205128205128,201902
Kars,0.7692307692307693,201902
Kastamonu,1.1794871794871795,201902
Kayseri Province,0.6666666666666666,201902
Kilis,1.1538461538461537,201902
Kocaeli,0.5641025641025641,201902
Konya,0.8717948717948718,201902
Kütahya,0.9487179487179487,201902
Kırklareli,0.5128205128205128,201902
Kırıkkale,0.41025641025641024,201902
Kırşehir,0.6410256410256411,201902
Malatya,0.4358974358974359,201902
Manisa,0.8974358974358975,201902
Mardin,0.0,201902
Mersin Province,0.6410256410256411,201902
Muğla Province,0.9230769230769231,201902
Muş,1.3076923076923077,201902
Nevşehir,0.8205128205128205,201902
Niğde,1.1794871794871795,201902
Ordu,0.9743589743589743,201902
Osmaniye,0.3333333333333333,201902
Rize,0.5384615384615384,201902
Sakarya,0.8205128205128205,201902
Samsun,0.8461538461538461,201902
Siirt Province,1.1538461538461537,201902
Sinop Province,1.2564102564102564,201902
Sivas,0.7435897435897436,201902
Tekirdağ,0.8717948717948718,201902
Tokat,0.7435897435897436,201902
Trabzon,0.8461538461538461,201902
Tunceli,0.0,201902
Uşak,1.0512820512820513,201902
Van,0.48717948717948717,201902
Yalova Province,1.1282051282051282,201902
Yozgat,0.6666666666666666,201902
Zonguldak,0.6923076923076923,201902
Çanakkale Province,0.6410256410256411,201902
Çankırı,1.3846153846153846,201902
Çorum Province,0.7948717948717948,201902
İstanbul,0.717948717948718,201902
İzmir,0.7435897435897436,201902
Şanlıurfa Province,0.358974358974359,201902
Şırnak,1.1794871794871795,201902
Adana,0.6289308176100629,201903
Adıyaman Province,0.5031446540880503,201903
Afyonkarahisar Province,0.5974842767295597,201903
Aksaray,1.3522012578616351,201903
Amasya Province,0.7232704402515723,201903
Ankara,0.660377358490566,201903
Antalya,0.7232704402515723,201903
Ardahan Province,0.0,201903
Artvin,0.0,201903
Aydın Province,0.7547169811320754,201903
Ağrı,0.9748427672955975,201903
Balıkesir Province,0.6289308176100629,201903
Bartın Province,1.4779874213836477,201903
Batman,0.6918238993710691,201903
Bayburt,0.0,201903
Bilecik,1.069182389937107,201903
Bingöl Province,0.0,201903
Bitlis,0.7547169811320754,201903
Bolu,0.7861635220125786,201903
Burdur Province,1.3522012578616351,201903
Bursa,0.8176100628930817,201903
Denizli,0.7232704402515723,201903
Diyarbakır,0.5660377358490566,201903
Düzce Province,1.0377358490566038,201903
Edirne,0.8176100628930817,201903
Elazığ,1.4465408805031446,201903
Erzincan,0.6289308176100629,201903
Erzurum,0.9119496855345912,201903
Eskişehir Province,1.1635220125786163,201903
Gaziantep,0.6289308176100629,201903
Giresun,1.3522012578616351,201903
Gümüşhane,1.4150943396226414,201903
Hakkâri,1.0377358490566038,201903
Hatay,0.5974842767295597,201903
Isparta Province,1.2264150943396226,201903
Iğdır,1.1320754716981132,201903
